CASE_NUMBER,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,NEW_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,EMPLOYER_FEIN,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,H-1B_DEPENDENT,WILLFUL_VIOLATOR
I-200-2025-00038,Certified,2025-04-11,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,95900.0,Year,78400.0,Year,,N,N
I-200-2025-00039,Certified,2025-08-05,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,118000.0,Year,104100.0,Year,IV,N,N
I-200-2025-00040,Certified,2025-07-20,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,59400.0,Year,49000.0,Year,,N,N
I-200-2025-00041,Certified,2025-09-09,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,107100.0,Year,95400.0,Year,,N,N
I-200-2025-00042,Certified - Withdrawn,2025-03-05,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,89800.0,Year,87100.0,Year,IV,N,N
I-200-2025-00043,Certified,2025-08-19,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,79300.0,Year,66200.0,Year,,N,N
I-200-2025-00044,Certified,2025-09-06,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,73300.0,Year,70300.0,Year,III,N,N
I-200-2025-00045,Certified,2025-07-05,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,115500.0,Year,115400.0,Year,II,N,N
I-200-2025-00046,Certified,2024-12-15,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,106800.0,Year,86200.0,Year,IV,N,N
I-200-2025-00047,Denied,2024-10-08,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,108200.0,Year,95700.0,Year,,N,N
I-200-2025-00048,Certified,2025-07-28,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,121800.0,Year,114700.0,Year,II,N,N
I-200-2025-00049,Certified,2024-10-01,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,88100.0,Year,83400.0,Year,,N,N
I-200-2025-00050,Certified,2025-05-26,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,80300.0,Year,68700.0,Year,I,N,N
I-200-2025-00051,Certified,2024-12-01,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,69500.0,Year,66800.0,Year,I,N,N
I-200-2025-00052,Certified,2025-06-09,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,98300.0,Year,85900.0,Year,IV,N,N
I-200-2025-00053,Certified,2025-04-05,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,120200.0,Year,101000.0,Year,III,N,N
I-200-2025-00054,Certified,2024-10-30,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,102000.0,Year,92200.0,Year,I,N,N
I-200-2025-00055,Certified,2025-01-16,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,117800.0,Year,108700.0,Year,III,N,N
I-200-2025-00056,Certified,2024-12-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,81400.0,Year,78800.0,Year,,N,N
I-200-2025-00057,Certified,2024-11-17,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,95600.0,Year,89200.0,Year,III,N,N
I-200-2025-00058,Certified,2025-08-09,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,89700.0,Year,73300.0,Year,,N,N
I-200-2025-00059,Certified,2025-08-30,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,80000.0,Year,73200.0,Year,,N,N
I-200-2025-00060,Certified,2024-11-04,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,142200.0,Year,123500.0,Year,I,N,N
I-200-2025-00061,Certified,2025-03-04,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,122000.0,Year,114800.0,Year,I,N,N
I-200-2025-00062,Certified,2025-09-17,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,89800.0,Year,72600.0,Year,I,N,N
I-200-2025-00063,Certified,2024-12-11,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,89700.0,Year,83600.0,Year,I,N,N
I-200-2025-00064,Certified,2025-09-16,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,103900.0,Year,99600.0,Year,,N,N
I-200-2025-00065,Certified,2025-04-03,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,76200.0,Year,61600.0,Year,IV,N,N
I-200-2025-00066,Certified,2025-07-17,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,113700.0,Year,91300.0,Year,,N,N
I-200-2025-00067,Withdrawn,2025-09-19,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,79100.0,Year,77400.0,Year,II,N,N
I-200-2025-00068,Certified,2025-04-30,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,97600.0,Year,95600.0,Year,,N,N
I-200-2025-00069,Certified,2025-06-18,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,84500.0,Year,70600.0,Year,III,N,N
I-200-2025-00070,Certified,2024-10-02,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,95400.0,Year,93900.0,Year,IV,N,N
I-200-2025-00071,Withdrawn,2025-08-29,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,78400.0,Year,69100.0,Year,I,N,N
I-200-2025-00072,Certified,2024-12-12,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,73500.0,Year,66400.0,Year,II,N,N
I-200-2025-00073,Certified,2024-11-11,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,85700.0,Year,76600.0,Year,,N,N
I-200-2025-00074,Certified - Withdrawn,2025-03-21,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,91400.0,Year,79200.0,Year,II,N,N
I-200-2025-00075,Certified,2025-06-24,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,99100.0,Year,96800.0,Year,III,N,N
I-200-2025-00076,Certified,2025-04-02,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,106400.0,Year,98100.0,Year,IV,N,N
I-200-2025-00077,Certified,2025-01-30,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,135500.0,Year,133700.0,Year,I,N,N
I-200-2025-00078,Certified,2025-08-05,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,121200.0,Year,112000.0,Year,I,N,N
I-200-2025-00079,Certified,2025-02-07,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,99900.0,Year,98400.0,Year,,N,N
I-200-2025-00080,Certified,2025-02-20,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,119500.0,Year,107900.0,Year,I,N,N
I-200-2025-00081,Certified,2025-03-14,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,91200.0,Year,81600.0,Year,III,N,N
I-200-2025-00082,Certified,2025-07-10,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,134000.0,Year,122500.0,Year,IV,N,N
I-200-2025-00083,Certified,2025-03-16,E-3 Australian,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,116000.0,Year,92900.0,Year,II,N,N
I-200-2025-00084,Withdrawn,2025-02-25,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,77900.0,Year,74300.0,Year,III,N,N
I-200-2025-00085,Withdrawn,2025-07-12,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,120100.0,Year,99400.0,Year,I,N,N
I-200-2025-00086,Certified,2025-08-14,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,121300.0,Year,119900.0,Year,IV,N,N
I-200-2025-00087,Certified,2025-01-15,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,51300.0,Year,41500.0,Year,I,N,N
I-200-2025-00088,Certified,2024-10-21,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,90000.0,Year,84700.0,Year,III,N,N
I-200-2025-00089,Certified,2025-03-16,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,95500.0,Year,91100.0,Year,,N,N
I-200-2025-00090,Certified,2025-02-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,66400.0,Year,60300.0,Year,II,N,N
I-200-2025-00091,Certified,2025-03-05,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,83700.0,Year,68600.0,Year,I,N,N
I-200-2025-00092,Withdrawn,2024-12-15,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,86000.0,Year,82800.0,Year,III,N,N
I-200-2025-00093,Certified,2025-05-13,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,115100.0,Year,99500.0,Year,II,N,N
I-200-2025-00094,Certified,2025-05-11,E-3 Australian,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,111000.0,Year,95200.0,Year,,N,N
I-200-2025-00095,Certified,2025-04-20,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,157500.0,Year,147800.0,Year,III,N,N
I-200-2025-00096,Certified,2025-06-28,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,97100.0,Year,96600.0,Year,II,N,N
I-200-2025-00097,Certified,2024-10-18,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,128100.0,Year,104900.0,Year,I,N,N
I-200-2025-00098,Certified,2024-11-16,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,106600.0,Year,94600.0,Year,III,N,N
I-200-2025-00099,Certified - Withdrawn,2025-08-04,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,110400.0,Year,103200.0,Year,IV,N,N
I-200-2025-00100,Certified,2024-10-26,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,81800.0,Year,70000.0,Year,II,N,N
I-200-2025-00101,Certified,2025-05-20,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,66800.0,Year,65800.0,Year,IV,N,N
I-200-2025-00102,Certified,2025-09-19,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,89700.0,Year,82600.0,Year,,N,N
I-200-2025-00103,Certified,2024-11-24,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,120200.0,Year,98000.0,Year,IV,N,N
I-200-2025-00104,Certified,2024-10-20,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,136700.0,Year,113600.0,Year,I,N,N
I-200-2025-00105,Certified,2025-03-28,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,117100.0,Year,97000.0,Year,II,N,N
I-200-2025-00106,Certified,2025-05-21,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,115000.0,Year,102500.0,Year,III,N,N
I-200-2025-00107,Certified,2025-08-21,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,88200.0,Year,86600.0,Year,II,N,N
I-200-2025-00108,Certified,2025-07-12,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,135700.0,Year,111600.0,Year,,N,N
I-200-2025-00109,Certified,2025-08-14,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,131900.0,Year,109500.0,Year,IV,N,N
I-200-2025-00110,Certified,2024-12-08,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,94400.0,Year,79500.0,Year,IV,N,N
I-200-2025-00111,Certified,2025-02-23,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,104100.0,Year,95200.0,Year,,N,N
I-200-2025-00112,Certified,2025-01-07,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,85100.0,Year,75400.0,Year,II,N,N
I-200-2025-00113,Certified,2024-12-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,134300.0,Year,118700.0,Year,III,N,N
I-200-2025-00114,Certified,2024-11-25,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,113100.0,Year,93800.0,Year,III,N,N
I-200-2025-00115,Denied,2025-09-08,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,103100.0,Year,99500.0,Year,,N,N
I-200-2025-00116,Denied,2025-04-19,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,113100.0,Year,101300.0,Year,IV,N,N
I-200-2025-00117,Certified,2025-06-22,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,113800.0,Year,110700.0,Year,I,N,N
I-200-2025-00118,Certified,2024-10-15,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,96800.0,Year,78000.0,Year,,N,N
I-200-2025-00119,Certified,2025-05-27,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,80200.0,Year,71500.0,Year,IV,N,N
