CASE_NUMBER,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,NEW_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,EMPLOYER_FEIN,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,H-1B_DEPENDENT,WILLFUL_VIOLATOR
I-200-2024-00037,Certified,2023-11-18,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,64600.0,Year,56800.0,Year,,N,N
I-200-2024-00038,Certified,2023-11-27,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,113400.0,Year,93800.0,Year,IV,N,N
I-200-2024-00039,Withdrawn,2024-07-17,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,110200.0,Year,100400.0,Year,I,N,N
I-200-2024-00040,Certified,2024-08-05,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,76800.0,Year,70300.0,Year,IV,N,N
I-200-2024-00041,Certified,2024-05-06,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,120400.0,Year,99500.0,Year,IV,N,N
I-200-2024-00042,Certified,2023-11-07,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,91000.0,Year,85800.0,Year,II,N,N
I-200-2024-00043,Certified,2023-12-17,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,82500.0,Year,75200.0,Year,II,N,N
I-200-2024-00044,Certified,2024-08-20,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,106900.0,Year,94600.0,Year,III,N,N
I-200-2024-00045,Certified,2024-06-07,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,101400.0,Year,99700.0,Year,,N,N
I-200-2024-00046,Certified,2023-12-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,109100.0,Year,106000.0,Year,I,N,N
I-200-2024-00047,Certified - Withdrawn,2023-11-16,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,72900.0,Year,61500.0,Year,III,N,N
I-200-2024-00048,Withdrawn,2024-04-11,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,141200.0,Year,117700.0,Year,I,N,N
I-200-2024-00049,Certified,2024-05-30,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,92900.0,Year,91300.0,Year,III,N,N
I-200-2024-00050,Certified,2024-05-05,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,74200.0,Year,61700.0,Year,IV,N,N
I-200-2024-00051,Certified,2024-05-23,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,117400.0,Year,111700.0,Year,II,N,N
I-200-2024-00052,Certified,2023-12-18,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,97900.0,Year,84400.0,Year,II,N,N
I-200-2024-00053,Certified,2023-10-02,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,111500.0,Year,97300.0,Year,III,N,N
I-200-2024-00054,Certified,2023-11-23,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,98200.0,Year,89400.0,Year,I,N,N
I-200-2024-00055,Certified,2024-04-02,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,103800.0,Year,102300.0,Year,,N,N
I-200-2024-00056,Certified,2024-06-20,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,109900.0,Year,88000.0,Year,IV,N,N
I-200-2024-00057,Certified,2024-06-18,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,90100.0,Year,75000.0,Year,I,N,N
I-200-2024-00058,Certified,2024-05-01,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,118600.0,Year,112000.0,Year,II,N,N
I-200-2024-00059,Certified,2024-06-30,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,95600.0,Year,84000.0,Year,IV,N,N
I-200-2024-00060,Denied,2024-03-27,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,87600.0,Year,75100.0,Year,I,N,N
I-200-2024-00061,Certified,2024-06-11,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,106500.0,Year,105700.0,Year,I,N,N
I-200-2024-00062,Certified,2023-10-16,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,113900.0,Year,97100.0,Year,I,N,N
I-200-2024-00063,Certified,2024-08-14,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,100400.0,Year,94700.0,Year,II,N,N
I-200-2024-00064,Certified,2024-07-17,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,87700.0,Year,87100.0,Year,,N,N
I-200-2024-00065,Certified,2024-06-29,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,117400.0,Year,111800.0,Year,,N,N
I-200-2024-00066,Withdrawn,2024-08-05,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,69800.0,Year,65700.0,Year,IV,N,N
I-200-2024-00067,Certified,2024-08-27,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,84400.0,Year,79700.0,Year,I,N,N
I-200-2024-00068,Certified,2024-04-11,E-3 Australian,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,105800.0,Year,101700.0,Year,IV,N,N
I-200-2024-00069,Certified,2024-02-27,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,77800.0,Year,66500.0,Year,IV,N,N
I-200-2024-00070,Certified,2024-04-07,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,105600.0,Year,97700.0,Year,III,N,N
I-200-2024-00071,Certified,2023-10-13,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,103900.0,Year,99800.0,Year,I,N,N
I-200-2024-00072,Certified,2024-08-27,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,123000.0,Year,120300.0,Year,III,N,N
I-200-2024-00073,Certified,2023-12-05,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,86700.0,Year,85100.0,Year,III,N,N
I-200-2024-00074,Certified,2024-08-27,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,92500.0,Year,90700.0,Year,I,N,N
I-200-2024-00075,Certified,2024-01-12,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,111700.0,Year,91500.0,Year,IV,N,N
I-200-2024-00076,Certified,2024-04-09,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,55800.0,Year,48800.0,Year,III,N,N
I-200-2024-00077,Certified - Withdrawn,2023-10-16,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,167000.0,Year,148800.0,Year,I,N,N
I-200-2024-00078,Certified,2023-10-08,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,91000.0,Year,89000.0,Year,I,N,N
I-200-2024-00079,Denied,2023-11-08,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,90400.0,Year,79900.0,Year,,N,N
I-200-2024-00080,Certified,2023-11-10,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,122200.0,Year,104200.0,Year,I,N,N
I-200-2024-00081,Certified,2024-04-04,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,104200.0,Year,83800.0,Year,II,N,N
I-200-2024-00082,Certified,2023-11-19,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,69400.0,Year,59500.0,Year,IV,N,N
I-200-2024-00083,Certified,2023-12-30,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,117500.0,Year,112300.0,Year,III,N,N
I-200-2024-00084,Certified,2023-12-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,122100.0,Year,98200.0,Year,II,N,N
I-200-2024-00085,Denied,2024-01-11,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,96000.0,Year,80000.0,Year,II,N,N
I-200-2024-00086,Certified,2024-08-02,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,99400.0,Year,85700.0,Year,III,N,N
I-200-2024-00087,Certified,2024-06-23,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,114700.0,Year,104000.0,Year,IV,N,N
I-200-2024-00088,Certified,2024-09-01,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,86800.0,Year,75700.0,Year,II,N,N
I-200-2024-00089,Certified,2024-08-03,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,113800.0,Year,111100.0,Year,II,N,N
I-200-2024-00090,Certified,2023-12-17,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,109000.0,Year,91700.0,Year,II,N,N
I-200-2024-00091,Certified - Withdrawn,2024-08-06,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,91500.0,Year,83500.0,Year,II,N,N
I-200-2024-00092,Certified,2023-10-13,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,77200.0,Year,73800.0,Year,I,N,N
I-200-2024-00093,Certified - Withdrawn,2024-02-11,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,100500.0,Year,99100.0,Year,I,N,N
I-200-2024-00094,Certified,2023-11-10,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,87500.0,Year,85300.0,Year,,N,N
I-200-2024-00095,Certified,2024-06-12,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,125000.0,Year,103400.0,Year,,N,N
I-200-2024-00096,Certified,2024-04-30,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,107900.0,Year,103400.0,Year,II,N,N
I-200-2024-00097,Withdrawn,2024-08-02,E-3 Australian,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,120600.0,Year,112800.0,Year,I,N,N
I-200-2024-00098,Withdrawn,2024-05-21,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,107700.0,Year,95200.0,Year,III,N,N
I-200-2024-00099,Certified,2023-11-24,E-3 Australian,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,110300.0,Year,88800.0,Year,II,N,N
I-200-2024-00100,Certified,2024-08-14,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,89300.0,Year,74400.0,Year,,N,N
I-200-2024-00101,Certified,2023-12-12,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,118400.0,Year,112500.0,Year,IV,N,N
I-200-2024-00102,Certified,2024-09-06,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,140700.0,Year,114900.0,Year,II,N,N
I-200-2024-00103,Certified,2024-05-21,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,98800.0,Year,85200.0,Year,II,N,N
I-200-2024-00104,Certified,2024-01-16,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,93100.0,Year,79200.0,Year,I,N,N
I-200-2024-00105,Certified - Withdrawn,2024-01-04,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,101800.0,Year,96600.0,Year,III,N,N
I-200-2024-00106,Certified,2024-01-09,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,95400.0,Year,83200.0,Year,II,N,N
I-200-2024-00107,Certified,2023-12-09,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,91000.0,Year,74400.0,Year,II,N,N
I-200-2024-00108,Certified,2024-09-13,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,107800.0,Year,94200.0,Year,IV,N,N
I-200-2024-00109,Certified,2024-02-10,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,99200.0,Year,85800.0,Year,,N,N
I-200-2024-00110,Certified,2024-08-15,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,133800.0,Year,126200.0,Year,IV,N,N
I-200-2024-00111,Certified,2023-10-06,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,105000.0,Year,90700.0,Year,I,N,N
I-200-2024-00112,Certified,2024-05-05,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,111500.0,Year,104700.0,Year,,N,N
I-200-2024-00113,Certified,2024-03-06,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,124000.0,Year,112600.0,Year,I,N,N
I-200-2024-00114,Certified,2024-08-11,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,99000.0,Year,96800.0,Year,I,N,N
I-200-2024-00115,Certified,2023-10-18,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,133700.0,Year,126600.0,Year,I,N,N
I-200-2024-00116,Certified - Withdrawn,2024-08-09,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,92300.0,Year,81400.0,Year,II,N,N
I-200-2024-00117,Certified - Withdrawn,2023-12-28,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,88800.0,Year,79700.0,Year,III,N,N
I-200-2024-00118,Certified,2023-12-11,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,97700.0,Year,87400.0,Year,II,N,N
I-200-2024-00119,Certified,2023-12-18,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,102700.0,Year,100100.0,Year,III,N,N
